task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
142	a7/22d0e7	149734	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-08 23:59:27.124	1m 7s	1m 6s	151.4%	2 GB	14.3 GB	346.8 MB	1.1 MB
155	3c/3d8189	153625	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:00:32.057	38.5s	37.9s	164.8%	1.4 GB	14.2 GB	581.5 MB	1.1 MB
157	ac/aaa3de	153912	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:00:33.690	39.1s	38.7s	163.5%	1.2 GB	14.2 GB	411.5 MB	1.1 MB
151	21/245032	158270	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:01:12.804	36.7s	36.3s	168.7%	1.7 GB	14.2 GB	290.1 MB	1.1 MB
143	dc/49f71c	157645	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:01:10.566	54.6s	54.3s	145.2%	1.9 GB	14.2 GB	299.3 MB	1.1 MB
149	df/9bc09b	160780	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:01:49.551	54s	52s	161.6%	1.9 GB	14.2 GB	546.9 MB	1.1 MB
145	c0/c1e1da	162615	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:02:05.217	58.8s	58.3s	161.0%	1.9 GB	14.2 GB	363.2 MB	1.1 MB
152	9e/c88a52	167816	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:02:43.587	49.4s	48.5s	148.9%	1.7 GB	14.2 GB	449.3 MB	1.1 MB
153	b0/4307ea	171081	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:03:04.167	50.9s	49.9s	137.9%	1.7 GB	14.1 GB	572.1 MB	1.1 MB
162	0d/270121	178333	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:03:55.064	16.7s	15.5s	210.9%	1.3 GB	14.1 GB	358.2 MB	1.1 MB
161	b0/c61cc0	175144	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:03:33.005	47s	46.1s	164.4%	1.7 GB	14.2 GB	383.4 MB	1.1 MB
159	48/690630	180992	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:04:11.766	48.8s	47.7s	176.6%	1.7 GB	14.3 GB	379.4 MB	1.1 MB
160	90/4d3c17	182446	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:04:20.039	40.5s	40s	152.8%	1.2 GB	14.2 GB	504.9 MB	1.1 MB
158	44/28ddd6	187179	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:05:00.581	48.3s	47.4s	168.2%	1.9 GB	14.2 GB	355.5 MB	1.1 MB
163	94/eece62	190833	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:MERGE_HAPLOTYPECALLER (S4)	COMPLETED	0	2025-12-09 00:05:50.369	7.7s	6.9s	305.1%	469.4 MB	11.8 GB	95.9 MB	725 KB
164	de/ba0b5a	192169	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:VCF_VARIANT_FILTERING_GATK:CNNSCOREVARIANTS (S4)	COMPLETED	0	2025-12-09 00:06:07.170	19.8s	19s	183.6%	633.4 MB	19.9 GB	191.7 MB	20.1 MB
165	3b/5a731b	200881	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:VCF_VARIANT_FILTERING_GATK:FILTERVARIANTTRANCHES (S4)	COMPLETED	0	2025-12-09 00:06:48.853	21.6s	20.3s	115.1%	683.3 MB	14.1 GB	137.9 MB	730.7 KB
169	83/f78234	211176	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (S4)	COMPLETED	0	2025-12-09 00:07:11.477	565ms	163ms	265.8%	8.3 MB	2 GB	174.3 KB	5.2 KB
168	c2/c1d645	212280	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (S4)	COMPLETED	0	2025-12-09 00:07:13.053	1.4s	0ms	90.8%	2.2 MB	20.4 MB	103 KB	2.6 KB
166	28/b66d3c	212702	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (S4)	COMPLETED	0	2025-12-09 00:07:13.532	1.5s	0ms	83.1%	2.4 MB	20.6 MB	103 KB	2.7 KB
167	40/7d2a64	212714	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (S4)	COMPLETED	0	2025-12-09 00:07:13.546	1.5s	0ms	77.8%	2.4 MB	20.6 MB	103 KB	3.2 KB
170	57/296de6	215112	NFCORE_SAREK:SAREK:MULTIQC	COMPLETED	0	2025-12-09 00:07:17.615	32s	30.5s	40.9%	703 MB	20 GB	100.4 MB	51.2 MB
